職業,総数,男,女,old_title
金属加工作業者,1632546,1381945,250601,（40）金属加工作業者
金属工作機械作業者,255701,226210,29491,163金属工作機械作業者
金属プレス作業者,115273,92307,22966,164金属プレス作業者
金属溶接・溶断作業者,238501,224625,13876,165金属溶接・溶断作業者
鉄工製缶作業者,95182,90549,4633,166鉄工，製缶作業者
板金作業者,121274,113137,8137,167板金作業者
金属彫刻作業者,5477,4252,1225,168金属彫刻作業者
めっき作業者,39713,34186,5527,169めっき作業者
その他の金属加工作業者,761425,596679,164746,170その他の金属加工作業者
一般機械器具組立・修理作業者,1020880,893496,127384,（41）一般機械器具組立・修理作業者
一般機械器具組立作業者,591771,473718,118053,171一般機械器具組立作業者
一般機械器具修理作業者,429109,419778,9331,172一般機械器具修理作業者
電気機械器具組立・修理作業者,1364992,803661,561331,（42）電気機械器具組立・修理作業者
電気機械器具組立作業者,748841,401376,347465,173電気機械器具組立作業者
電気機械器具修理作業者,148203,140806,7397,174電気機械器具修理作業者
電球・電子管組立作業者,18715,12053,6662,175電球・電子管組立作業者
被覆電線製造作業者,26707,18403,8304,176被覆電線製造作業者
半導体製品製造作業者,106086,84073,22013,177半導体製品製造作業者
その他の電気機械器具組立・修理作業者,316440,146950,169490,178その他の電気機械器具組立・修理作業者
輸送機械組立・修理作業者,730761,707787,22974,（43）輸送機械組立・修理作業者
自動車組立作業者,102825,97544,5281,179自動車組立作業者
自動車整備作業者,473617,465080,8537,180自動車整備作業者
航空機組立・整備作業者,22214,21677,537,181航空機組立・整備作業者
鉄道車両組立・修理作業者,27459,27199,260,182鉄道車両組立・修理作業者
自転車組立・修理作業者,24429,21189,3240,183自転車組立・修理作業者
船舶ぎ装作業者他に分類されないもの,18652,18426,226,184船舶ぎ装作業者(他に分類されないもの)
その他の輸送機械組立・修理作業者,61565,56672,4893,185その他の輸送機械組立・修理作業者
計量計測機器・光学機械器具組立・修理作業者,157176,94960,62216,（44）計量計測機器・光学機械器具組立・修理作業者
計量計測機器組立・修理作業者,39164,27616,11548,186計量計測機器組立・修理作業者
時計組立・修理作業者,16949,12043,4906,187時計組立・修理作業者
光学機械器具組立・修理作業者,32553,16878,15675,188光学機械器具組立・修理作業者
レンズ研磨・調整作業者,15466,9552,5914,189レンズ研磨・調整作業者
その他の計量計測機器・光学機械器具組立・修理作業者,53044,28871,24173,190その他の計量計測機器・光学機械器具組立・修理作業者
食料品製造作業者,1295259,506714,788545,（45）食料品製造作業者
精穀・製粉作業者,17496,14093,3403,191精穀・製粉作業者
製糖作業者,2457,1897,560,192製糖作業者
味そ・しょう油製造作業者,13376,8569,4807,193味そ・しょう油製造作業者
動植物油脂製造作業者,3744,3245,499,194動植物油脂製造作業者
めん類製造作業者,42670,19594,23076,195めん類製造作業者
パン・菓子製造作業者,320714,157922,162792,196パン・菓子製造作業者
豆腐・こんにゃく・ふ製造作業者,49266,24433,24833,197豆腐・こんにゃく・ふ製造作業者
缶詰・瓶詰・レトルト食品製造作業者,14497,4317,10180,198缶詰・瓶詰・レトルト食品製造作業者
乳・乳製品製造作業者,19677,14840,4837,199乳・乳製品製造作業者
水産物加工作業者,177774,62317,115457,200水産物加工作業者
その他の食料品製造作業者,633588,195487,438101,201その他の食料品製造作業者
飲料・たばこ製造作業者,57274,40443,16831,（46）飲料・たばこ製造作業者
製茶作業者,7467,5027,2440,202製茶作業者
酒類製造作業者,17234,13826,3408,203酒類製造作業者
清涼飲料製造作業者,13533,10913,2620,204清涼飲料製造作業者
たばこ製造作業者,4412,2879,1533,205たばこ製造作業者
その他の飲料・たばこ製造作業者,14628,7798,6830,206その他の飲料・たばこ製造作業者
紡織作業者,218240,108274,109966,（47）紡織作業者
粗紡・精紡作業者,8940,3878,5062,207粗紡・精紡作業者
合糸ねん糸加工糸作業者,14855,6378,8477,208合糸，ねん糸，加工糸作業者
織機準備作業者,7330,3026,4304,209織機準備作業者
織布作業者,51896,22935,28961,210織布作業者
漂白・精練作業者,4982,3591,1391,211漂白・精練作業者
染色作業者,39676,29006,10670,212染色作業者
編物・編立作業者,21296,10696,10600,213編物・編立作業者
製鋼・製網作業者繊維製,9751,4329,5422,214製鋼・製網作業者（繊維製）
その他の紡織作業者,59514,24435,35079,215その他の紡織作業者
衣服・繊維製品製造作業者,628534,123115,505419,（48）衣服・繊維製品製造作業者
成人女子・子供服仕立作業者,21621,3529,18092,216成人女子・子供服仕立作業者
成人男子服仕立作業者,14942,9820,5122,217成人男子服仕立作業者
和服仕立作業者,26983,1987,24996,218和服仕立作業者
刺しゅう作業者,12303,4277,8026,219刺しゅう作業者
ミシン縫製作業者,361924,48414,313510,220ミシン縫製作業者
裁断作業者,34733,17400,17333,221裁断作業者
その他の衣服・繊維製品製造作業者,156028,37688,118340,222その他の衣服・繊維製品製造作業者
木・竹・草・つる製品製造作業者,323852,256732,67120,（49）木・竹・草・つる製品製造作業者
製材作業者,53511,45774,7737,223製材作業者
チップ製造作業者,1933,1615,318,224チップ製造作業者
合板作業者,24001,18523,5478,225合板作業者
木工,32521,26344,6177,226木工
木製家具・建具製造作業者,146140,119177,26963,227木製家具・建具製造作業者
船大工,2315,2315,-,228船大工
竹細工作業者,4387,2742,1645,229竹細工作業者
草・つる製品製造作業者,9822,6001,3821,230草・つる製品製造作業者
その他の木・竹・草・つる製品製造作業者,49222,34241,14981,231その他の木・竹・草・つる製品製造作業者
パルプ・紙・紙製品製造作業者,188602,121457,67145,（50）パルプ・紙・紙製品製造作業者
パルプ・紙料製造作業者,12380,11784,596,232パルプ・紙料製造作業者
紙すき作業者,21955,18078,3877,233紙すき作業者
紙器製造作業者,58860,32536,26324,234紙器製造作業者
紙製品製造作業者,16273,7617,8656,235紙製品製造作業者
その他のパルプ・紙・紙製品製造作業者,79134,51442,27692,236その他のパルプ・紙・紙製品製造作業者
印刷・製本作業者,374707,264785,109922,（51）印刷・製本作業者
文字組版作業者,11902,6748,5154,237文字組版作業者
製版作業者,65207,46863,18344,238製版作業者
印刷作業者,193739,156801,36938,239印刷作業者
製本作業者,45299,24565,20734,240製本作業者
その他の印刷・製本作業者,58560,29808,28752,241その他の印刷・製本作業者
ゴム・プラスチック製品製造作業者,470874,291920,178954,（52）ゴム・プラスチック製品製造作業者
原料ゴム加工作業者,3386,3090,296,242原料ゴム加工作業者
ゴム製品成形作業者,74431,58237,16194,243ゴム製品成形作業者
プラスチック製品成形・加工・仕上作業者,275480,185493,89987,244プラスチック製品成形・加工・仕上作業者
その他のゴム・プラスチック製品製造作業者,117577,45100,72477,245その他のゴム・プラスチック製品製造作業者
革・革製品製造作業者,48933,26918,22015,（53）革・革製品製造作業者
製革作業者,4530,3345,1185,246製革作業者
靴製造・修理作業者,34957,18873,16084,247靴製造・修理作業者
その他の革・革製品製造作業者,9446,4700,4746,248その他の革・革製品製造作業者
その他の製造・制作作業者,1591119,918672,672447,（54）その他の製造・制作作業者
かばん・袋物製造作業者,25399,11873,13526,249かばん・袋物製造作業者
がん具製造作業者,12612,5348,7264,250がん具製造作業者
ちょうちん・うちわ製造作業者,2268,884,1384,251ちょうちん・うちわ製造作業者
漆塗師まき絵師,11261,7389,3872,252漆塗師，まき絵師
貴金属・宝石・甲・角等細工作業者,25254,17130,8124,253貴金属・宝石・甲・角等細工作業者
印判師,8690,6261,2429,254印判師
内張作業者,14806,10918,3888,255内張作業者
表具師,63770,54720,9050,256表具師
塗装作業者画工看板制作作業者,336033,300811,35222,257塗装作業者，画工，看板制作作業者
写真現像・焼付・引伸し作業者,38452,16158,22294,258写真現像・焼付・引伸し作業者
製図・写図作業者,362106,265903,96203,259製図・写図作業者
現図作業者,2012,1858,154,260現図作業者
包装作業者,386151,56424,329727,261包装作業者
他に分類されない製造・制作作業者,302305,162995,139310,262他に分類されない製造・制作作業者
定置機関運転・建設機械運転・電気作業者,1013723,1000192,13531,I-２定置機関運転・建設機械運転・電気作業者
定置機関・機械及び建設機械運転作業者,374157,371486,2671,（55）定置機関・機械及び建設機械運転作業者
ボイラー・オペレーター,26111,26081,30,263ボイラー・オペレーター
クレーン・ウインチ運転作業者,71984,71522,462,264クレーン・ウインチ運転作業者
建設機械運転作業者,164464,163561,903,265建設機械運転作業者
その他の定置機関・機械及び建設機械運転作業者,111598,110322,1276,266その他の定置機関・機械及び建設機械運転作業者
電気作業者,639566,628706,10860,（56）電気作業者
発電員変電員,50811,50795,16,267発電員，変電員
電線架線・敷設作業者,55261,55131,130,268電線架線・敷設作業者
電気通信設備工事作業者,97458,95926,1532,269電気通信設備工事作業者
電気工事作業者,416932,409720,7212,270電気工事作業者
その他の電気作業者,19104,17134,1970,271その他の電気作業者
採掘・建設・労務作業者,6152514,4555426,1597088,I-３採掘・建設・労務作業者
採掘作業者,39541,38428,1113,（57）採掘作業者
採鉱員,2625,2606,19,272採鉱員
石切出作業者,1848,1817,31,273石切出作業者
砂利・砂・粘土採取作業者,7401,7138,263,274砂利・砂・粘土採取作業者
その他の採掘作業者,27667,26867,800,275その他の採掘作業者
建設作業者,2880632,2775236,105396,（58）建設作業者
大工,646767,639340,7427,276大工
とび職,111879,110285,1594,277とび職
ブロック積・タイル張作業者,58414,56065,2349,278ブロック積・タイル張作業者
屋根ふき作業者,38808,36517,2291,279屋根ふき作業者
左官,152273,146550,5723,280左官
配管作業者,334929,328585,6344,281配管作業者
畳職,28384,24343,4041,282畳職
土木作業者,858585,815999,42586,283土木作業者
鉄道線路工事作業者,26237,26237,-,284鉄道線路工事作業者
その他の建設作業者,624356,591315,33041,285その他の建設作業者
運搬労務作業者,1499731,1017648,482083,（59）運搬労務作業者
船内・沿岸荷役作業者,16607,16276,331,286船内・沿岸荷役作業者
陸上荷役・運搬作業者,190364,154707,35657,287陸上荷役・運搬作業者
倉庫作業者,236106,170337,65769,288倉庫作業者
配達員,800836,548295,252541,289配達員
荷造作業者,255818,128033,127785,290荷造作業者
その他の労務作業者,1732610,724114,1008496,（60）その他の労務作業者
清掃員,881553,354593,526960,291清掃員
他に分類されない労務作業者,851057,369521,481536,292他に分類されない労務作業者
分類不能の職業,741810,416774,325036,J分類不能の職業
分類不能の職業,741810,416774,325036,（61）分類不能の職業
分類不能の職業,741810,416774,325036,293分類不能の職業
