職業,総数,男,女,old_title
木・竹・草・つる製品製造作業者,734120,557665,176455,(50)木・竹・草・つる製品製造作業者
製材工,156480,131060,25420,227製材工
チップ製造工,10815,5740,5075,228チップ製造工
合板工,58070,37600,20470,229合板工
木工,67495,55495,12000,230木工
木製家具・建具製造工,259565,216890,42675,231木製家具・建具製造工
船大工,16075,16075,0,232船大工
木製おけ・たる製造工,8675,7675,1000,木製おけ・たる製造工
竹細工工,23495,13640,9855,233竹細工工
草・つる製品製造工,27350,12405,14945,234草・つる製品製造工
その他の木・竹・草・つる製品製造作業者,106100,61085,45015,235その他の木・竹・草・つる製品製造作業者
パルプ・紙・紙製品製造作業者,238050,135780,102270,(51)パルプ・紙・紙製品製造作業者
パルプ工，紙料工,19000,17635,1365,236パルプ工，紙料工
製紙工,33995,29110,4885,製紙工
紙器製造工,67515,31875,35640,238紙器製造工
紙製品製造工,32290,7355,24935,239紙製品製造工
その他のパルプ・紙・紙製品製造作業者,85250,49805,35445,240その他のパルプ・紙・紙製品製造作業者
印刷・製本作業者,346770,258190,88580,(52)印刷・製本作業者
製版工,39640,35700,3940,242製版工
文選工，植字工,51050,35675,15375,241文選工，植字工
印刷工,164805,140020,24785,243印刷工
製本工,51355,25590,25765,244製本工
その他の印刷・製本作業者,39920,21205,18715,245その他の印刷・製本作業者
ゴム・プラスチック製品製造作業者,359675,223200,136475,(53)ゴム・プラスチック製品製造作業者
ゴム工,10920,9935,985,246ゴム工
ゴム製品成形工,89025,60595,28430,247ゴム製品成形工
プラスチック製品成形工・加工工・仕上工,196190,125245,70945,248プラスチック製品成形工・加工工・仕上工
その他のゴム・プラスチック製品製造作業者,63540,27425,36115,249その他のゴム・プラスチック製品製造作業者
革・革製品製造作業者,97775,59510,38265,(54)革・革製品製造作業者
製革工,12345,8960,3385,250製革工
靴製造工・修理工,63450,39805,23645,251靴製造工・修理工
その他の革・革製品製造作業者,21980,10745,11235,252その他の革・革製品製造作業者
窯業・土石製品製造作業者,419245,292695,126550,(38)窯業・土石製品製造作業者
窯業原料工,15325,13370,1955,145窯業原料工
ガラス製品成形工,24365,21540,2825,146ガラス製品成形工
陶磁器工,67465,36830,30635,148陶磁器工
窯業絵付工,22580,7160,15420,149窯業絵付工
れんが・かわら・土管製造工,36030,25160,10870,147れんが・かわら・土管製造工
セメント製造工,6340,6190,150,150セメント製造工
セメント製品製造工,72685,55625,17060,151セメント製品製造工
石工,54175,48410,5765,152石工
その他の窯業・土石製品製造作業者,120280,78380,41900,153その他の窯業・土石製品製造作業者
食料品製造作業者,680645,370845,309800,(46)食料品製造作業者
精穀工，製粉工,31015,22000,9015,193精穀工，製粉工
パン・菓子製造工,213900,137885,76015,198パン・菓子製造工
めん類製造工,30760,15620,15140,197めん類製造工
豆腐・こんにゃく・ふ製造工,37770,36055,1715,199豆腐・こんにゃく・ふ製造工
製糖工,4580,4200,380,194製糖工
製茶工,5500,370,5130,204製茶工
みそ・しょう油製造工,16215,12005,4210,195みそ・しょう油製造工
缶詰・瓶詰食品製造工,24790,4865,19925,200缶詰・瓶詰食品製造工
酒類製造工,12970,10820,2150,205酒類製造工
清涼飲料製造工,8225,5140,3085,206清涼飲料製造工
乳・乳製品製造工,16095,12765,3330,201乳・乳製品製造工
水産物加工工,110620,38020,72600,202水産物加工工
動植物油脂製造工,5770,4990,780,動植物油脂製造工
その他の食料品製造作業者,132435,62710,69725,203その他の食料品製造作業者
化学製品製造作業者,290595,243625,46970,化学製品製造作業者
科学工,185345,171620,13725,科学工
油脂加工工,7485,6160,1325,油脂加工工
その他科学製品製造業者,97765,65845,31920,その他科学製品製造業者
建設作業者,2633920,2455420,178500,(58)建設作業者
土木・建築請負師,42595,42325,270,土木・建築請負師
大工,852745,848020,4725,大工
屋根ふき工,21590,20975,615,280屋根ふき工
左官,275055,266900,8155,281左官
とび工,60425,60425,0,278とび工
れんが積工，タイル張工,65680,62545,3135,279れんが積工，タイル張工
配管工，鉛工,181415,179165,2250,282配管工，鉛工
畳工,43400,38720,4680,283畳工
土工，道路工夫,769260,623405,145855,284土工，道路工夫
鉄道線路工事作業者,45125,45125,0,285鉄道線路工事作業者
その他の建設作業者,276630,267815,8815,286その他の建設作業者
定置機関・機械及び建設機械運転作業者,262815,262145,670,(56)定置機関・機械及び建設機械運転作業者
機関士,64230,64230,0,268機関士
起重機・巻上機運転工,89850,89850,0,269起重機・巻上機運転工
建設機械運転工,55620,55620,0,270建設機械運転工
その他の定置機関・機械及び建設機械運転作業者,53115,52445,670,271その他の定置機関・機械及び建設機械運転作業者
電気作業者,507725,503330,4395,(57)電気作業者
発電員，変電員,65850,65850,0,272発電員，変電員
電線架線工,86055,86055,0,273電線架線工
電気工事人,263210,260380,2830,275電気工事人
電信電話機器据付工・保守工,85295,83860,1435,274電信電話機器据付工・保守工
その他の電気作業者,7305,7175,130,276その他の電気作業者
その他技能工,1207075,729825,477250,その他技能工
たばこ製造工,11350,4880,6470,207たばこ製造工
塗装工,300905,251690,49215,塗装工
漆塗師,16585,10450,6135,漆塗師
内張工,13385,9255,4130,内張工
表具師,27500,22025,5475,261表具師
和傘・ちょうちん・うちわ製造工,3680,1530,2150,255和傘・ちょうちん・うちわ製造工
貴金属・宝石・甲・角等細工工,25835,17410,8425,258貴金属・宝石・甲・角等細工工
印判師,11820,9670,2150,259印判師
洋傘組立工,8445,3780,4665,256洋傘組立工
かばん・袋物製造工,45205,21590,23615,253かばん・袋物製造工
がん具製造工,41480,11610,29870,254がん具製造工
製図工，写図工,223570,195955,27615,264製図工，写図工
現図工,7930,7650,280,265現図工
包装工,254575,36855,217720,266包装工
映写技師,6515,6265,250,映写技師
その他技能工,208295,119210,89085,その他技能工
他に分類されない単純労働者,1450150,968340,481810,他に分類されない単純労働者
荷造工,130550,97035,33515,291荷造工
倉庫夫,151605,142240,9365,倉庫夫
沖仲仕、沿岸仲仕,43675,42145,1530,沖仲仕、沿岸仲仕
陸仲仕、運搬夫,193260,176485,16775,陸仲仕、運搬夫
駅手,31525,28635,2890,駅手
配達人,234245,180670,53575,配達人
その他の単純労働者,665190,301130,364060,その他の単純労働者
保安職業従事者,646065,637015,9050,Ｆ保安職業従事者
保安職業従事者,646065,231015,415050,(28)保安職業従事者
自衛官,233125,231715,1410,101自衛官
警察官，海上保安官、鉄道公安員,187705,165165,22540,102警察官，海上保安官、鉄道公安員
消防員,62420,62230,190,104消防員
看守，その他の司法警察職員,152365,150575,1790,103看守，その他の司法警察職員
その他の保安職業従事者,10450,7330,3120,106その他の保安職業従事者
サービス職業従事者,3366905,1097930,2268975,サービス職業従事者
家事サービス職業従事者,141150,2340,138810,(22)家事サービス職業従事者
家事女中住込みの女子,54820,0,54820,80家事女中(住込みの女子)
家政婦,23775,0,23775,81家政婦
その他の家事サービス職業従事者,62555,2340,60215,82その他の家事サービス職業従事者
個人サービス業,2809540,931875,1877665,個人サービス業
理容師見習を含む,310655,155490,155165,83理容師(見習を含む)
